step,objective
0,-0.49031233664499196
1,-0.26297374040189775
2,-0.08806395762269255
3,0.21864059952323747
4,0.3872827256838592
5,0.50286072333697
6,0.576296190144887
7,0.5969536886636055
8,0.6799273254275043
9,0.7033778654815798
10,0.7611453776351138
11,0.7964733115733211
12,0.8205909112201336
13,0.8367143103396665
14,0.8539080272068815
15,0.8669946154802394
16,0.8757778416827104
17,0.8767738887471728
18,0.8819105035968767
19,0.8904113847155974
20,0.8929669233258418
21,0.8932901701640147
22,0.9004807398296293
23,0.9008279742628238
24,0.9130051594926564
25,0.9167294033374989
26,0.9184726761018911
27,0.922779479436662
28,0.9238037932174827
29,0.926361765172379
30,0.9286932559772592
31,0.932077680780479
32,0.932308912263355
33,0.9344897275348807
34,0.9350114321203756
35,0.936123294741257
36,0.9388824774763357
37,0.9381908641007377
38,0.9394456340154094
39,0.9408528314875926
40,0.9409783091758229
41,0.9422550277243129
42,0.9446198757481751
43,0.9452556434638517
44,0.9459747362752859
45,0.9467899941523981
46,0.9478969485459438
47,0.948348382294484
48,0.9496430870129802
49,0.9505673045983727
50,0.9506595735846864
51,0.9511354302620119
52,0.9510099407817818
53,0.9520732648657003
54,0.9529796184966265
55,0.9533311150165539
56,0.9533203552026617
57,0.9537271468666428
58,0.9541938460068381
59,0.9544344282956888
60,0.9544125113550314
61,0.9542357502296874
62,0.9541180968897832
63,0.9545218262443815
64,0.955036710323655
65,0.9550598323858888
66,0.9551455197378799
67,0.955040940079506
68,0.9550669200411491
69,0.9554253054202065
70,0.9552949443446066
71,0.9549939341295597
72,0.9552922903970892
73,0.9553856941616745
74,0.9553649102137455
75,0.9556541384818166
76,0.9557953813419823
77,0.9559722244548992
78,0.9561543215253078
79,0.9565091031149304
80,0.956416939702404
81,0.9566127785094833
82,0.9566677040900403
83,0.9565105016766596
84,0.9561979048619355
85,0.9561705444670048
86,0.9560071053537037
87,0.9565147282552203
88,0.9564922799062747
89,0.9565331795438939
90,0.9566599323430192
91,0.9564305433182104
92,0.9563780376734575
93,0.9561742569039096
94,0.9562938508193841
95,0.9561493362543976
96,0.9560764536130679
97,0.9563951406409483
98,0.9564554931552478
99,0.9565728151537605
100,0.9565918297506499
101,0.9566666613495074
102,0.9567105895449305
103,0.9568859076144991
104,0.9567718741369454
105,0.9566991968324211
106,0.9566828970901786
107,0.9565541988652325
108,0.956464347555473
109,0.9564917863322767
110,0.9566386770650416
111,0.9568352805787096
112,0.9568216795573068
113,0.956776358434987
114,0.9568015610331757
115,0.9567547490773867
116,0.9568701606791065
117,0.9569227526265811
118,0.9569408985335505
119,0.9569767054025117
120,0.9568379672685678
121,0.9567636481949934
122,0.956726817716863
123,0.9569834947517328
124,0.9570305802680554
125,0.9570003155349787
126,0.9570952512521188
127,0.9571739985905116
128,0.9574365617179761
129,0.9573543861016006
130,0.9575634479543699
131,0.9574621770523879
132,0.9574056273781064
133,0.9574273050443568
134,0.9573992213596877
135,0.9574547277597432
136,0.9573838554432662
137,0.9574118049686727
138,0.9572395242159946
139,0.9570921167031968
140,0.9570737730610723
141,0.9570430800607852
142,0.9571105237180785
143,0.9570567071734039
144,0.9570368014319922
145,0.9570361450362141
146,0.9569142779567582
147,0.9569986705207961
148,0.9569282200006934
149,0.9572281521774992
150,0.9572932631914739
151,0.9571124485816825
152,0.9572235328263973
153,0.957165237449397
154,0.9572907809110782
155,0.9571882666711459
156,0.9571068629209106
157,0.9572485570791587
158,0.957170040628128
159,0.9571812058833371
160,0.9572625317711337
161,0.9572730330263082
162,0.9573059928165724
163,0.9572732337058751
164,0.9571594085299727
165,0.9572062811296839
166,0.9574150085985492
167,0.957491924802444
168,0.9577349394553286
169,0.9577484814554325
170,0.9579242129464134
171,0.9577850302871248
172,0.9577857950072498
173,0.9577104173183063
174,0.9578869301236235
175,0.9579512331188736
176,0.9580509486320153
177,0.9579741455055143
178,0.9578992361670885
179,0.9578211507232153
180,0.9577467761998133
181,0.9577079041471344
182,0.9575327567732785
183,0.957748933704497
184,0.9577239834340047
185,0.9577615104152377
186,0.9577334159519053
187,0.9578147457261842
188,0.9578892853464728
189,0.9578653825867006
